gene_id	gene_name	HCT116_EpiT_01	HCT116_EpiT_02	HCT116_EpiT_03	HCT116_Epi_01	HCT116_Epi_02	HCT116_Epi_03
COPB2	COPB2	4211	4605	3705	4571	4924	4712
COPE	COPE	3290	3700	3117	3503	3537	3308
COPG1	COPG1	5032	5559	4475	5515	5740	5346
COPG2	COPG2	774	828	729	873	1005	908
COPG2IT1	COPG2IT1	18	17	27	43	32	24
COPRS	COPRS	1308	1518	1049	1362	1500	1351
COPS2	COPS2	3991	4496	3507	3876	4346	4153
COPS3	COPS3	3173	3426	2691	3002.001	3218.001	2964
COPS4	COPS4	1147	1214	978	1181	1398	1300
COPS5	COPS5	2434	2565	2118	2364	2471	2551
COPS6	COPS6	2431	2630	2136	2627	2733	2429
COPS7A	COPS7A	1787.001	1787.001	1551	1869.001	2083.999	1791.001
COPS7B	COPS7B	1659	1747.001	1504	1587.999	1699.999	1512
COPS8	COPS8	1475	1595	1225	1558	1606	1528
COPZ1	COPZ1	4904	5427	4422.999	5081.999	5448	4848
COPZ2	COPZ2	0	0	0	0	0	0
COQ10A	COQ10A	152	189	135	157	165	176
COQ10B	COQ10B	1090	1184	1005	848	886	877
COQ2	COQ2	644.999	749	609	788	795	786
COQ3	COQ3	387	417.999	335.999	387.001	467	415
COQ4	COQ4	551	665	479	558	608	510
COQ5	COQ5	714	742	543	771	813	702
COQ6	COQ6	313.999	302.001	228	335	360.001	322
COQ7	COQ7	467	561	450	514	576	513
COQ9	COQ9	1477	1585	1291	1684	1613	1470
CORIN	CORIN	41	29	32	63	36	70
CORO1A	CORO1A	252	176	133	125	135	122
CORO1B	CORO1B	1618	1793	1549	2146	2294	2024
CORO1C	CORO1C	6645	7591	5934	6129	6793	6285
CORO2A	CORO2A	368	331	279	618	600	605
CORO2B	CORO2B	52	83	52	166	149	144
CORO6	CORO6	82.999	73	73.001	164	134.999	131
CORO7	CORO7	423	427.16	394	385	368	386
CORO7-PAM16	CORO7-PAM16	0	16.697	0	0	0	0
CORT	CORT	3.464	0	3.25	2.62	5.99	10.036
COTL1	COTL1	10308	11693	9461	10515	10882	10723
COX10	COX10	1172.001	1304.999	1117	1215	1222	1137
COX10-AS1	COX10-AS1	184	163	139	138	154	170
COX11	COX11	999	1145	948	1101	1260	1208
COX14	COX14	460	489	362	391	446	370
COX15	COX15	3201.001	3705.001	3042	3788	4158	3930
COX16	COX16	1345.456	1389.732	1104	1256.444	1446.663	1364.313
COX17	COX17	776	823	662	529	704	640
COX18	COX18	449	488	473	557	631	595
COX19	COX19	646	626	561	613	583	629
COX20	COX20	966	1081	830	1120	1319	1167
COX4I1	COX4I1	8497	9375	7694	8228	8957	8083
COX4I2	COX4I2	0	0	0	0	1	0
COX5A	COX5A	2728	2857	2257	2629	2867	2514
COX5B	COX5B	2389	2626	2039	2371	2533	2163
COX6A1	COX6A1	3295	3577	2943	3218	3524	3087
COX6A2	COX6A2	0	0	0	0	0	0
COX6B1	COX6B1	2545	2662	2288	2678	2902	2680
COX6B2	COX6B2	17	12	7	34	31	31
COX6C	COX6C	2160	2117	1728	1969	2100	1890
COX7A1	COX7A1	0	0	0	0	0	0
COX7A2	COX7A2	2379.999	2661	2102	2204	2421.001	2174.999
COX7A2L	COX7A2L	1887	1987	1539	1780	1977	1703
COX7B	COX7B	1126	1285	1163	1147	1371	1226
COX7B2	COX7B2	0	0	0	0	0	0
COX7C	COX7C	2565	2659	2299	2507	2680	2584
COX8A	COX8A	4249	4517	3826	4347	4713	3952
COX8C	COX8C	0	0	0	0	0	0
CP	CP	0	0	0	0	0	0
CPA1	CPA1	0	0	0	0	0	0
CPA2	CPA2	0	0	0	0	0	0
CPA3	CPA3	0	0	0	0	0	0
CPA4	CPA4	1085	1194	982	766	783	710
CPA5	CPA5	2	1	2	1	1	0
CPA6	CPA6	0	0	1	0	1	0
CPAMD8	CPAMD8	1	0	1	0	4	2
CPB1	CPB1	0	0	0	0	0	0
CPB2	CPB2	0	0	0	0	0	0
CPB2-AS1	CPB2-AS1	17	12	11	19	17	17
CPD	CPD	4560	5276	4250	5655	6358	6377
CPE	CPE	494	544	448	1022	1026	969
CPEB1	CPEB1	0	1	0	0	0	0
CPEB2	CPEB2	101	123	104.001	77	94	95
CPEB2-AS1	CPEB2-AS1	0	0	0	0	0	0
CPEB3	CPEB3	175	178	183	205.999	182	212
CPEB4	CPEB4	732	833	639	718	746	821
CPED1	CPED1	7	10	19	14	7	12
CPLX1	CPLX1	417	495	465	427	401	354
CPLX2	CPLX2	32	33	24	19	9	11
CPLX3	CPLX3	0	0	0	0	0	0
CPLX4	CPLX4	0	0	0	0	0	0
CPM	CPM	143	171	144	131	108	125
CPN1	CPN1	0	0	0	0	0	1
CPN2	CPN2	0	0	0	0	0	0
CPNE1	CPNE1	4055.48	4517.887	3803.027	4380.035	4646.859	4295.236
CPNE2	CPNE2	764	777	674	1121	1044	1011
CPNE3	CPNE3	6203	7054	5731	7187	8225	7432
CPNE4	CPNE4	0	0	0	0	0	0
CPNE5	CPNE5	8	3	10	4	7	4
CPNE6	CPNE6	1	0	0	0	0	0
CPNE7	CPNE7	2109.001	2368.001	1918	2687.001	2392.001	2377.999
CPNE8	CPNE8	719	768	620	668	675	640
CPNE9	CPNE9	3	8	6	6	11	3
CPO	CPO	6	1	0	3	4	3
CPOX	CPOX	7598	8646	7247	13682	15524	14948
CPPED1	CPPED1	411	486	353	501	529	472
CPQ	CPQ	20	21	12	26	25	24
CPS1	CPS1	1111	1297	1092	1738.999	1834	1713
CPS1-IT1	CPS1-IT1	0	1	6	12	6	4
CPSF1	CPSF1	6424	7101	6208	8115	7729	7328.001
CPSF2	CPSF2	4390	5024	4117	4467	4874	4741
CPSF3	CPSF3	2646	2797	2211	2582	2877	2613
CPSF3L	CPSF3L	2437	2507.999	2059	2321	2600.001	2351.001
CPSF4	CPSF4	1772	1918	1520	1621	1678	1653
CPSF4L	CPSF4L	0	0	0	0	0	2
CPSF6	CPSF6	4978	5234	4306	5097	5508	5368
CPSF7	CPSF7	3941.999	4215.001	3590.999	4029.999	4156	3845.001
CPT1A	CPT1A	3856.001	4598	3857	4566	4993	4908
CPT1B	CPT1B	182.047	148.432	151.884	225.995	238.848	215.635
CPT1C	CPT1C	33	25.999	26	50	54.999	53
CPT2	CPT2	715	786	649	924	937	826
CPVL	CPVL	236	249	225	252	252	269
CPXCR1	CPXCR1	0	0	0	0	0	0
CPXM1	CPXM1	1	0	1	1	0	0
CPXM2	CPXM2	0	0	0	0	1	1
CPZ	CPZ	0	0	0	0	0	0
CR1	CR1	0	0	0	1	0	0
CR1L	CR1L	0	0	0	0	0	0
CR2	CR2	230	230	170	226	196	245
CRABP1	CRABP1	0	0	0	0	0	0
CRABP2	CRABP2	1468	1716	1355	2933	3017	2875
CRADD	CRADD	176	150	142	148	146	157
CRAMP1L	CRAMP1L	1806	2008	1701	1999	1880	1998
CRAT	CRAT	447.001	457.999	431.001	727	777	665.001
CRB1	CRB1	0	2	0	1	0	0
CRB2	CRB2	3	1	3	11	5	7
CRB3	CRB3	323	343.001	268.001	374	293	295.999
CRBN	CRBN	351	370	308	324	380	377
CRCP	CRCP	994	1161.001	1053	1164.001	1245	1148
CRCT1	CRCT1	0	0	0	0	0	0
CREB1	CREB1	1717.999	1969.999	1692	1768	1925	1971.001
CREB3	CREB3	1124	1138	996	1009	1090	932
CREB3L1	CREB3L1	8	5	2	17	4	6
CREB3L2	CREB3L2	1159	1334	1131	2283	2557	2371
CREB3L3	CREB3L3	4	10	6	20	26	18
CREB3L4	CREB3L4	99.001	109	90	127.001	109.001	93
CREB5	CREB5	89	107	111	35	43	34
CREBBP	CREBBP	4550.999	5387	4570	5740.999	5948.999	5961.999
CREBL2	CREBL2	565	573	463	607	652	649
CREBRF	CREBRF	140	143	127	155	183	197.001
CREBZF	CREBZF	2245.001	2444	2222	2749.002	2720	2875
CREG1	CREG1	1090	1231	957	1257	1405	1347
CREG2	CREG2	2	5	2	5	10	1
CRELD1	CRELD1	165	195	148	191	213	207
CRELD2	CRELD2	896	1112	833	1246.999	1274.998	1239
CREM	CREM	318	390.999	294.001	274.002	331	301
CRH	CRH	0	0	0	0	0	0
CRHBP	CRHBP	0	0	0	0	0	0
CRHR1	CRHR1	3.338	5.805	0	2.286	4.528	3
CRHR1-IT1	CRHR1-IT1	98	145	79	121	127	146
CRHR2	CRHR2	0	0	0	0	0	0
CRIM1	CRIM1	2065	2277	2105	2009.999	2230	2147
CRIP1	CRIP1	317	362	258	515	504	439
CRIP2	CRIP2	143.999	145	106	493	402	411
CRIP3	CRIP3	0	0	0	0	0	0
CRIPAK	CRIPAK	239	298	249	280	298	281
CRIPT	CRIPT	510	476	381	443	514	530
CRISP1	CRISP1	0	0	0	0	0	0
CRISP2	CRISP2	0	0	0	0	0	0
CRISP3	CRISP3	0	0	0	0	0	0
CRISPLD1	CRISPLD1	0	0	0	0	0	0
CRISPLD2	CRISPLD2	143	165	145	271	256	229
CRK	CRK	4162	4671	3781	3928	4234	4115
CRKL	CRKL	7067	7961	6609	7237	7589	7101.982
CRLF1	CRLF1	157	187	147	474	430	463
CRLF2	CRLF2	0	0	3	0	2	0
CRLF2-2	CRLF2	0	0	0	0	0	0
CRLF3	CRLF3	1695	1750	1414	1534	1673	1587.999
CRLS1	CRLS1	1492.001	1645	1182	1142	1397.001	1387
CRMP1	CRMP1	0	1	0	0	2	1
CRNDE	CRNDE	65	106	67	55	72	68
CRNKL1	CRNKL1	1606	1783	1444	1591	1737	1623
CRNN	CRNN	0	0	0	0	0	0
CROCC	CROCC	577	693.424	591	713.081	708.816	683
CROCCP2	CROCCP2	249	222.548	240	305.866	269	285
CROCCP3	CROCCP3	32	40.029	32	92.053	60.183	74
CROT	CROT	4	1	1	0	0	0
CRP	CRP	0	0	0	0	0	0
CRSP8P	CRSP8P	1.03	1.031	1.041	3.128	8.434	2.072
CRTAC1	CRTAC1	0	0	1	0	0	0
CRTAM	CRTAM	44	27	22	0	0	0
CRTAP	CRTAP	2756	3138	2727	3953	4049	3725
CRTC1	CRTC1	400.999	418.001	383	687	665	644.999
CRTC2	CRTC2	999	1010.001	957.999	1005	931	1015
CRTC3	CRTC3	1332	1389	1277	1602	1657	1584
CRX	CRX	3	0	0	0	0	0
CRY1	CRY1	867	910	791	1017	1029	955
CRY2	CRY2	566	618	552	701	712	695
CRYAA	CRYAA	0	0	0	0	0	0
CRYAB	CRYAB	0	0	0	0	0	0
CRYBA1	CRYBA1	0	0	0	0	0	0
CRYBA2	CRYBA2	0	0	0	0	0	1
CRYBA4	CRYBA4	0	0	0	0	0	0
CRYBB1	CRYBB1	0	0	0	0	0	0
CRYBB2	CRYBB2	7	1.007	0	7	8	6.061
CRYBB2P1	CRYBB2P1	225	188.993	201	229	196	202.939
CRYBB3	CRYBB3	8	0	5	1	4	2
CRYBG3	CRYBG3	1251	1316	1036	1648	1488	1718
CRYGA	CRYGA	0	0	0	0	0	0
CRYGB	CRYGB	0	0	0	0	0	0
CRYGC	CRYGC	0	0	0	0	0	0
CRYGD	CRYGD	0	0	0	0	0	0
CRYGN	CRYGN	0	0	0	3	0	0
CRYGS	CRYGS	15	15	19	13	19	13
CRYL1	CRYL1	164.999	166	165	277	338	280
CRYM	CRYM	19	30	25	42	64	43
CRYM-AS1	CRYM-AS1	35	55	40	51	46	54
CRYZ	CRYZ	811	852	688	916	1042	1002
CRYZL1	CRYZL1	265	259	229	294	305	346
CS	CS	9156	10586	8636	9059	9380	9047
CSAD	CSAD	90.999	115	111	116.999	103	89
CSAG1	CSAG1	0	0	0	0	0	0
CSAG3	CSAG3	183	195	186	196	253	217
CSAG4	CSAG4	0	0	0	0	0	0
CSDC2	CSDC2	3	0	0	5	5	10
CSDE1	CSDE1	21928	24912.001	19711	23676.999	25606.001	24946.001
CSE1L	CSE1L	13211	13904	11216	12467.999	13854	13098
CSF1	CSF1	942.001	1075	852	121	136.999	113
CSF1R	CSF1R	1	2	3	7	3	6
CSF2	CSF2	70	39	22	3	2	3
CSF2RA	CSF2RA	23	28	18	31	29	14
CSF2RA-2	CSF2RA	0	0	0	0	0	0
CSF2RB	CSF2RB	0	0	0	0	0	0
CSF3	CSF3	1	0	1	0	0	0
CSF3R	CSF3R	0	0	0	0	0	0
CSGALNACT1	CSGALNACT1	7	2	1	17	7	7
CSGALNACT2	CSGALNACT2	674.001	863	634.999	717	718	687
CSH1	CSH1	0	0	0	0	0	0
CSH2	CSH2	0	0	0	0	0	0
CSHL1	CSHL1	0	0	0	0	0	0
CSK	CSK	3469	4200.999	3468	3741.001	3837	3924.999
CSMD1	CSMD1	0	0	0	0	0	0
CSMD2	CSMD2	0	0	1	8	3	6
CSMD3	CSMD3	0	0	2	1	1	1
CSN1S1	CSN1S1	0	0	0	0	0	0
CSN1S2AP	CSN1S2AP	0	0	0	0	0	0
CSN1S2BP	CSN1S2BP	0	0	0	0	0	0
CSN2	CSN2	0	0	0	0	0	0
CSN3	CSN3	0	0	0	0	0	0
CSNK1A1	CSNK1A1	8751	10231	7996.999	8101	9019.001	8458.999
CSNK1A1L	CSNK1A1L	1	0	1	0	0	0
CSNK1A1P1	CSNK1A1P1	0	0	0	0	0	0
CSNK1D	CSNK1D	5523.999	6320.999	5307.999	5664	5925	5256.999
CSNK1E	CSNK1E	4125	4345	3569	3606	3577	3374
CSNK1G1	CSNK1G1	2301	2476	1989	2039	2057	2095
CSNK1G2	CSNK1G2	4458	4907	3916	4811	4885.001	4579.999
CSNK1G2-AS1	CSNK1G2-AS1	0	0	0	1	0	1
CSNK1G3	CSNK1G3	2002.999	2221	1702.999	1994	2084.999	2037
CSNK2A1	CSNK2A1	9006.68	10181.406	8196.95	8600.405	9427.577	8797.476
CSNK2A2	CSNK2A2	1450	1696	1462.999	1606	1676	1542
CSNK2A3	CSNK2A3	44.32	29.594	34.049	43.596	44.423	37.524
CSNK2B	CSNK2B	2464	2588	2227	2759	2755	2591
CSPG4	CSPG4	552	646	590	1321	1380	1195
CSPG5	CSPG5	65	105	59	117	157.001	101
CSPP1	CSPP1	1842	2001	1612	1948	1863	1741
CSRNP1	CSRNP1	492	512	454	540	476	473
CSRNP2	CSRNP2	671	777.001	649	968	1062.001	1011
CSRNP3	CSRNP3	0	0	1	4	1	0
CSRP1	CSRP1	1692	1875	1646	1752	2059	1775
CSRP2	CSRP2	393	377	332	355	446	452
CSRP2BP	CSRP2BP	455.399	495.608	426.109	527.577	586.927	573.585
CSRP3	CSRP3	0	0	0	0	0	0
CST1	CST1	0	0	0	0	0	0
CST11	CST11	0	0	0	0	0	0
CST13P	CST13P	0	0	0	0	0	0
CST2	CST2	0	0	0	0	0	0
CST3	CST3	1686	1926	1662	2043	1924	1914
CST4	CST4	0	0	0	0	0	0
CST5	CST5	0	0	0	0	0	0
CST6	CST6	302	376	334	721	647	688
CST7	CST7	2	4	9	0	0	0
CST8	CST8	0	0	0	0	0	0
CST9	CST9	0	0	0	0	0	0
CST9L	CST9L	0	0	0	0	0	0
CSTA	CSTA	165	216	140	107	171	136
CSTB	CSTB	1605	1776	1493	1970	2065	2046
CSTF1	CSTF1	1648	1799	1454	1786	1948	1718
CSTF2	CSTF2	1777	1769	1582	1429	1594	1539
CSTF2T	CSTF2T	1344	1389	1140	1130	1302	1132
CSTF3	CSTF3	1536	1623	1326	1657	1773	1730
CSTF3-AS1	CSTF3-AS1	10	7	9	12	19	8
CSTL1	CSTL1	0	0	0	0	0	0
CT45A1	CT45A1	3.002	0	2.532	6.676	5.142	3.528
CT45A2	CT45A2	0	0	0	0	0	0
CT45A3	CT45A3	0	2.526	0	0	0	4.421
CT45A5	CT45A5	2.998	0	0	2.121	1.286	1.051
CT45A6	CT45A6	0	0	0	0	1.286	0
CT47A1	CT47A1	0	0	0	0	0	0
CT47A10	CT47A10	0	0	0	0	0	0
CT47A11	CT47A11	0	0	0	0	0	0
CT47A12	CT47A12	0	0	0	0	0	0
CT47A2	CT47A2	0	0	0	0	0	0
CT47A3	CT47A3	0	0	0	0	0	0
CT47A4	CT47A4	0	0	0	0	0	0
CT47A5	CT47A5	0	0	0	0	0	0
CT47A6	CT47A6	0	0	0	0	0	0
CT47A7	CT47A7	0	0	0	0	0	0
CT47A8	CT47A8	0	0	0	0	0	0
CT47A9	CT47A9	0	0	0	0	0	0
CT47B1	CT47B1	0	0	0	0	0	0
CT55	CT55	0	0	1	1	0	3
CT62	CT62	0	0	2	0	0	0
CT83	CT83	0	0	0	0	0	0
CTAG1A	CTAG1A	0	0	0	0	1.5	0
CTAG1B	CTAG1B	0	0	0	0	1.5	0
CTAG2	CTAG2	0	0	0	0	0	0
CTAGE1	CTAGE1	0	0	0	0	0	0
